trial,value,num_leaves,max_depth,learning_rate,n_estimators,subsample,colsample_bytree,min_child_samples,reg_lambda,reg_alpha
56,0.5653483873627061,135,4,0.0138014516056833,428,0.6060287468335047,0.5752156879521811,60,0.003478856523093284,4.332892050677092
57,0.5647603220251513,117,5,0.015161274032521797,393,0.6141827462821431,0.6050510121653639,62,0.0065921674216463805,4.066066644312818
58,0.5627370946534944,113,3,0.010446692215370897,410,0.6515253899848055,0.5710437663072978,58,0.010835026396075795,4.965746963176705
59,0.5630470912578421,134,3,0.012485281628750941,356,0.6380268356719634,0.5749534384623632,68,0.005404121526080114,1.7162422871795995
60,0.5654387754732794,136,4,0.014661795351985113,452,0.6146254910100568,0.5491261974648122,73,0.002181114527741768,3.2655960627699883
61,0.5642816343296266,128,4,0.014372269463233112,432,0.6098284675931784,0.5319697082452401,83,0.0017256948042770632,1.7095668567900997
62,0.5646925924981688,126,4,0.017419949641044312,406,0.6108209329330611,0.5293996506966977,51,0.003679288941204681,3.020431292355991
63,0.5644131438792006,136,5,0.019052549777350627,357,0.6336820890025191,0.5330537058455206,65,0.004113459962553616,4.2032056707961845
64,0.5653754647949056,134,4,0.012031590045140629,421,0.6675611558122514,0.5533368330111873,64,0.0035466986031331897,2.9485862597862114
65,0.5639414923411593,126,4,0.010157125315017012,400,0.6597713399415687,0.48632762774311156,64,0.0015806182674830927,2.508514188762922
66,0.5647373610500456,129,4,0.013785850406809061,420,0.6479194261172971,0.5917047019948316,75,0.006791266678490886,3.5643299190352096
67,0.565566063708745,112,4,0.013191903353459681,423,0.6076018060019432,0.5302808158659521,66,0.001306158362046422,2.8335363250259125
68,0.5657173406081911,112,4,0.012789141435403063,495,0.67039642256051,0.4838339824885756,67,0.0016887749604808568,1.5979992062420774
69,0.5644410261286864,116,5,0.010817508882298469,475,0.6633906503466571,0.5057792051598735,64,0.028691201680917988,2.631028120790524
70,0.5652535791329022,111,4,0.013889865439584457,397,0.6532440446694405,0.5376585332280726,64,0.0050713671146640936,1.6692219704294355
71,0.5636984222972485,131,4,0.01599145839956857,521,0.6128349510434403,0.5353152024276432,65,0.0021890314927082407,1.6574441839569676
