trial,value,max_depth,learning_rate,n_estimators,subsample,colsample_bytree,min_child_weight,reg_lambda,reg_alpha,gamma
34,0.5637510139935848,4,0.01924145136730836,695,0.8661871311622757,0.5365567830326298,3,0.14908202969967055,1.8473462141558263,1.353759232523053
35,0.5643005774502695,4,0.01289450553230353,673,0.8939645637339253,0.65837204838885,4,0.2890032036231318,0.21141818566049322,0.3438169762594002
36,0.5614663302198671,3,0.015567395505261917,672,0.871352619551299,0.6081925954171755,5,0.12118637482359662,0.9499914393675042,1.0786648532969052
37,0.5630536551844217,5,0.013486531682766402,767,0.8949931298364165,0.5583489691870916,3,0.4404049419774071,2.0029513675830715,0.8978583786342289
38,0.5654114657583067,5,0.012367654676114915,633,0.8378110135218529,0.471915565417779,1,0.17567249707664104,3.223366913105596,2.0366032856028546
39,0.5652749992319609,5,0.010203491882095697,638,0.844220928903296,0.5496417409081605,4,0.2785659014492253,0.5349247093553499,1.9586504989352012
40,0.5649937833628333,4,0.011232894487912906,563,0.790084556356829,0.6257944226920247,8,0.2646256582366878,1.5413158285401587,0.7247533691180883
41,0.5647624301610451,4,0.013651090229030854,677,0.8263116412755129,0.6063868338846512,5,0.2616871462202771,0.7864722331848436,0.33236897874766247
42,0.564388652600266,4,0.010670832231764654,785,0.8768903474765749,0.616536962720056,2,0.24175277051162888,0.5714961350135906,1.0456168432874098
43,0.5638106801620887,6,0.012080197843426921,659,0.8304512958239546,0.4112723445392246,2,0.22975658217315673,2.528231015488495,2.0606013010381234
44,0.5652749133261371,5,0.014101366675942436,580,0.8130664578629122,0.46197711059861385,4,0.20395481445693792,3.254345090232827,2.5386168943835368
45,0.5604073276617658,5,0.021531437765240597,673,0.8059464504183602,0.5227599584396703,2,0.1935638811149169,3.871618877527864,1.9154032179500546
46,0.5657598287111892,4,0.01154715630801214,632,0.848540427312905,0.5001261914231401,3,0.23622043708601698,0.5471186799962497,0.7984894612986584
47,0.564705143944764,4,0.013474143268131362,708,0.811498842386333,0.4900312488913994,2,0.24829776387078167,0.40774913078668523,0.9219494833753469
48,0.564389942278285,4,0.016244794632129463,613,0.8781746681004962,0.4932076213574575,2,0.32181972937267983,4.098299963264207,1.3751076671904765
49,0.5656221166216048,5,0.012805355102173276,566,0.8582262838119931,0.42167539540960464,1,0.3579341724108211,1.2532238503519681,1.1356902077283795
50,0.5638938999048148,6,0.011558080080623163,615,0.8521088058847701,0.4430133458532144,2,0.23982847156920264,0.3688179431828409,0.643336718313732
51,0.5632118874616737,6,0.014145616158988817,578,0.8506641798237868,0.4988897640983442,3,0.3547652230341973,3.483059177073765,1.737348321252517
52,0.5660267493012902,4,0.011130346921601234,528,0.8332598040105286,0.47519081123683243,3,0.1709648173123359,1.7072389743101244,1.1163632406251176
53,0.5651822736527726,5,0.011308943461484079,663,0.8578251335300551,0.5989716914401659,2,0.11229975606708212,1.1882334451898382,0.7398163753312125
54,0.5650280238159519,4,0.012261197746391714,593,0.8702704846893933,0.47431483725325635,4,0.1420592429517637,0.8442849445755751,1.0147666894261484
55,0.5650089400832047,4,0.01274613408826832,461,0.8282546632518377,0.46841411948833767,4,0.2132310126426772,4.041860433473996,1.4797405684098672
56,0.5648511725427042,4,0.01203989299033849,589,0.807025901217741,0.5099336461703188,1,0.28311302967591034,4.109073433662599,1.19435008072658
57,0.5644172689118667,5,0.014090776318967251,558,0.9076649253577256,0.5630495135875611,2,0.3055959929447626,0.6682859914952944,0.6244141747981335
58,0.562842379774502,3,0.011249130562445173,528,0.8041008087586544,0.5118244736830488,5,0.16809983556486113,0.6305107009198424,1.4239224368890375
59,0.5653818349479215,4,0.011904620831049345,646,0.9166317303734016,0.5109427411220737,2,0.16944763663347978,3.6518536451858563,1.5028993268270092
60,0.5651166012285099,5,0.015240268771450552,623,0.8117564532849915,0.4735883742011199,5,0.2472785372512877,1.7094077310273894,1.0907249367512524
61,0.5652216270384013,4,0.010957820921553622,515,0.8609716645011303,0.4926831813657404,3,0.18808651652535285,4.350878673221272,0.8993601330544687
62,0.5642477063095755,5,0.015425141855894792,547,0.8767303050772393,0.40594997572021835,1,0.4773256483781935,1.019854172888134,0.7985128264785664
63,0.5651363442889944,4,0.01001998683256445,515,0.819768565926348,0.5030756616805165,2,0.24579564330628037,2.384931624535325,1.6090178102279489
64,0.5649843708219929,5,0.013548399346763924,576,0.9041702454498558,0.43923402980738235,2,0.32887051865313055,1.4697434929861433,0.7014316885497278
65,0.5652985663480211,4,0.012342684919195318,567,0.822905838121793,0.4637712457881301,5,0.16620723577458635,1.3169115495451074,1.4532333804296913
66,0.5655334303372029,5,0.011842647151259088,617,0.8702698325596412,0.5209888250912041,3,0.32762303544762755,1.0042423328995709,0.6904333412676119
67,0.5662733179823226,5,0.011559151009579988,546,0.8715882118290099,0.44409520163270355,2,0.4692191940815184,0.6921074247436192,1.4755655678474835
68,0.5654324446404202,5,0.013367035694643935,531,0.8740314373958494,0.47276277723078636,1,0.4834927150385334,0.7008077688458152,0.8014021689396487
69,0.5641722228508893,5,0.014370300254972587,560,0.8238259949133591,0.4975431638974383,1,0.5194471111943053,0.9565124150626015,1.0909536552073478
70,0.5652614925347853,5,0.013956155239726398,566,0.8706743464239383,0.40604944409123406,1,0.8340527789034266,2.687666954070731,0.9514805882143781
71,0.5660212831468397,4,0.01075819069438356,535,0.8734253116191341,0.4903916667327815,3,0.17618836661712042,1.4866691222862323,0.6975793860137862
72,0.5640873351125165,6,0.010850774644690869,627,0.850050503196918,0.41182616447194265,1,0.19520534234822748,1.0449981362773864,1.4946495661682628
73,0.5660042172235223,5,0.011998129918279615,503,0.8551708365276555,0.47528142693031517,2,0.2194684837321221,0.8622918897698135,0.6758171801375625
74,0.5654216460603934,5,0.013948672745149299,539,0.8876422084257761,0.46684351932399515,3,0.172899259739434,2.85652539331997,0.9600273648253698
75,0.5655057887218783,5,0.01123077785851219,586,0.8710160076572842,0.4984369985736408,3,0.16295372553186985,0.6065466532908522,0.44464135757562345
76,0.5648003544144525,4,0.016507933843108922,554,0.8266943739592263,0.4705193017320518,4,0.21416011964413478,0.7079062734020042,0.48559458004044986
77,0.5650880275484087,5,0.01477702202335532,543,0.8476439774837912,0.5065426085988605,2,0.40073474416940164,1.1112720457515874,1.5705909525291406
78,0.5654239978745541,4,0.01437574664984034,544,0.8435780980455826,0.43156720056320685,2,0.18363638194832985,0.6740838108971009,0.7349140580861226
79,0.5656118780066892,5,0.012260440315310742,481,0.87681224910046,0.5160589587843897,3,0.24907494228501278,0.888716478002496,0.8174886395872455
80,0.5656626042042352,4,0.012984391601977823,561,0.9055033898962113,0.5058285716633966,1,0.29815091806393834,0.7820919383354556,0.978671858580276
81,0.5664182932267042,5,0.010990579278775165,480,0.8517076356774783,0.4666303594649809,2,0.37103462222326017,0.8604923815947122,1.2811007280281423
82,0.5663072265028711,5,0.010978104417555302,477,0.8701744298270121,0.5044197142456457,2,0.225892402035317,0.6843459367793977,0.3105588929950719
83,0.5659383800389777,4,0.01112054465369825,560,0.8903591083889623,0.48796299525142306,2,0.3111507896824781,2.0519505684277,1.0760076688512503
